,BLOCKLOT,REC:PROG,REC:Neighborhood,REC:Address
338,4028A013,1,EAST BALTIMORE MIDWAY,2108 HARFORD RD
339,1607007,1,MILTON-MONTFORD,813 N PATTERSON PK AV
340,0123042,1,HARLEM PARK,515 N GILMOR ST
341,0123016,1,HARLEM PARK,530 N STRICKER ST
342,0122017,1,HARLEM PARK,534 N GILMOR ST
343,0123037,1,HARLEM PARK,525 N GILMOR ST
344,0192078,1,PENROSE/FAYETTE STREET OUTREAC,1924 W FAIRMOUNT AV
345,8019013,1,TEN HILLS,410 OLD ORCHARD RD
346,0338035,1,UPTON,575 LAURENS ST
347,0110052,1,HARLEM PARK,1608 EDMONDSON AVE
348,3024012A,1,PANWAY/BRADDISH AVENUE,2817 WINDSOR AVE
349,4616083,1,CENTRAL PARK HEIGHTS,2929 OAKLEY AV
350,4616084,1,CENTRAL PARK HEIGHTS,2927 OAKLEY AV
351,4616082,1,CENTRAL PARK HEIGHTS,2931 OAKLEY AV
352,4616085,1,CENTRAL PARK HEIGHTS,2925 OAKLEY AV
353,4616086,1,CENTRAL PARK HEIGHTS,2923 OAKLEY AV
354,5197012A,1,WILSON PARK,549 OAKLAND AVE
355,5170005,1,KENILWORTH PARK,910 BEAUMONT AVE
356,1693017,1,MCELDERRY PARK,233 N LAKEWOOD AV
357,1553031,1,MIDDLE EAST,1108 N PATTERSON PK AV
358,1553034,1,MIDDLE EAST,1114 N PATTERSON PK AV
359,1606001,1,MIDDLE EAST,803 N COLLINGTON AV
360,4589035,1,CENTRAL PARK HEIGHTS,5132 PEMBRIDGE AV
361,3234015F,1,PARKVIEW/WOODBROOK,2313 BRYANT AVE
362,3243012,1,PARKVIEW/WOODBROOK,2213 WHITTIER AVE
363,3238005,1,PARKVIEW/WOODBROOK,2609 REISTERSTOWN ROAD
364,3844100,1,HARWOOD,343 E 28TH ST
365,3814061,1,BARCLAY,414 E 21ST ST
366,3824042,1,BARCLAY,424 E 23RD ST
367,3855014,1,ABELL,2952 GREENMOUNT AVE
368,3855017,1,ABELL,2958 GREENMOUNT AVE
369,2364001,1,BRIDGEVIEW/GREENLAWN,2501 W LAFAYETTE AVE
370,5183027,1,RICHNOR SPRINGS,728 E COLD SPRING LANE
371,5173070,1,WINSTON-GOVANS,527 CHATEAU AVE
372,3463E015E,1,RESERVOIR HILL,2514 BROOKFIELD AVE
373,5140A014,1,MID-GOVANS,5619 GOVANE AVE
374,7615017,1,CHERRY HILL,454 ROUNDVIEW ROAD
375,4179P083,1,BELAIR-EDISON,3740 ELMORA AVE
376,5212B044,1,RICHNOR SPRINGS,4738 OLD YORK ROAD
377,3511056,1,HAMPDEN,856 W 33RD ST
378,3232A016,1,PARKVIEW/WOODBROOK,2307 OREM AVE
379,2402056,1,COPPIN HEIGHTS/ASH-CO-EAST,1702 ASHBURTON ST
380,5215018,1,RICHNOR SPRINGS,610 RICHWOOD AVE
381,3406035,1,PENN NORTH,2452 WOODBROOK AVE
382,0018033,1,EASTERWOOD,1520 N PAYSON ST
383,2349004,1,EVERGREEN LAWN,2306 ARUNAH AVE
384,6166084,1,ELLWOOD PARK/MONUMENT,639 N HIGHLAND AV
385,2306A042,1,COPPIN HEIGHTS/ASH-CO-EAST,2410 PRESBURY ST
386,1125036,1,OLIVER,1431 E FEDERAL ST
387,1127049,1,OLIVER,1520 N BROADWAY 
388,1127047,1,OLIVER,1524 N BROADWAY 
389,1127048,1,OLIVER,1522 N BROADWAY 
390,7225031,1,CURTIS BAY,1623 LOCUST ST
391,3024023,1,PANWAY/BRADDISH AVENUE,2826 CLIFTON AVE
392,3263020,1,BURLEITH-LEIGHTON,2601 LIBERTY HEIGHTS AVE
393,2520A003,1,EDMONDSON VILLAGE,905 N WOODINGTON ROAD
394,0298100,1,DRUID HEIGHTS,505 SANFORD PL
395,0298099,1,DRUID HEIGHTS,507 SANFORD PL
396,1494044,1,BROADWAY EAST,1751 E OLIVER ST
397,1494022,1,BROADWAY EAST,1707 E OLIVER ST
398,1494041,1,BROADWAY EAST,1745 E OLIVER ST
399,1494036,1,BROADWAY EAST,1735 E OLIVER ST
400,3262C005,1,BURLEITH-LEIGHTON,3108 TIOGA PKWY
401,2538029,1,IRVINGTON,4030 WALRAD ST
402,3238006,1,PARKVIEW/WOODBROOK,2611 REISTERSTOWN ROAD
403,5551001A,1,WOODRING,3003 WOODHOME AVE
404,5804102,1,WALTHERSON,5006 ROSS ROAD
405,5930062,1,BELAIR-EDISON,4248 SHELDON AVE
406,5695015,1,GLENHAM-BELFORD,4122 WHITE AVE
407,5923044,1,BELAIR-EDISON,3338 BRENDAN AVE
408,5919049,1,BELAIR-EDISON,3318 DUDLEY AVE
409,3941B056,1,COLDSTREAM HOMESTEAD MONTEBELL,2035 E 32ND ST
410,3457039,1,RESERVOIR HILL,2412 CALLOW AVE
411,4188B036,1,BELAIR-EDISON,3129 CLIFTMONT AVE
412,3806047,1,BARCLAY,335 E 21ST ST
413,3836A012,1,HARWOOD,439 E 27TH ST
414,5915005,1,BELAIR-EDISON,3109 CHESTERFIELD AVE
415,4092004A,1,BETTER WAVERLY,910 E 30TH ST
416,5898H003J,1,ARCADIA,4408 BELAIR ROAD
417,4188B025,1,BELAIR-EDISON,3107 CLIFTMONT AVE
418,4188B060,1,BELAIR-EDISON,3130 CLIFTMONT AVE
419,2350034,1,BRIDGEVIEW/GREENLAWN,834 N BENTALOU ST
420,4019031,1,EAST BALTIMORE MIDWAY,511 E 22ND ST
421,3006016,1,WALBROOK,2796 W NORTH AVE
422,6072A026,1,CEDONIA,5412 CEDONIA AVE
