BlockLot,StreetName,HouseNum,Dir,StreetType,Zip,Neighborhood,Lawyer,Project Name,Receiver Appointed,Auction Date,x,y
2730010,LIBERTY HEIGHTS,4018,,AVE,21207,DORCHESTER,BLAIR GRIFFITH,,"September 10, 2019",,,
3903A040,39TH,503,E,ST,21218,WAVERLY,KENT GRASSO,,"September 22, 2020",,,
2742A007,NORFOLK,3913,,AVE,21216,CONCERNED CITIZENS OF FOREST P,BLAIR GRIFFITH,,"August 6, 2019",,,
3350E032,WYLIE,3007,,AVE,21215,PARKLANE,BLAIR GRIFFITH,,"March 19, 2019",,,
4018018,BOONE,2000,,ST,21218,EAST BALTIMORE MIDWAY,EVAN HELFRICH,,"January 14, 2020",,,
1500002,COLLINGTON,1414,N,AV,21213,BROADWAY EAST,EVAN HELFRICH,,"February 25, 2020",,,
5165C045,CRAIG,5201,,AVE,21212,WOODBOURNE-MCCABE,KENT GRASSO,Mc Cabe,"January 28, 2020",,,
4198B010,WEAVER,3029,,AVE,21214,ARCADIA,DORIS WEIL,,"March 5, 2019",,,
4804A010,VIRGINIA,3018,,AVE,21215,CYLBURN,BLAIR GRIFFITH,,"September 17, 2019",,,
4552128,ELMER,5215,,AVE,21215,ARLINGTON,BLAIR GRIFFITH,,"April 6, 2021",,,
3834019C,BARCLAY,2522,,ST,21218,HARWOOD,KENT GRASSO,,"January 14, 2020",,,
5190010,SAINT GEORGES,4415,,AVE,21212,WILSON PARK,KENT GRASSO,,"February 26, 2019",,,
3875024,31ST,302,E,ST,21218,ABELL,KENT GRASSO,,"September 24, 2019",,,
2748002,OAKFIELD,3102,,AVE,21216,WEST FOREST PARK,BLAIR GRIFFITH,,"September 24, 2019",,,
4114F013,GARRETT,2535,,AVE,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"January 8, 2019",,,
4114F045,ROBB,2548,,ST,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"June 25, 2019",,,
4114I022,GARRETT,2552,,AVE,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"April 16, 2019",,,
4114I024,GARRETT,2556,,AVE,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"July 9, 2019",,,
7077025,PATAPSCO,600,E,AVE,21225,BROOKLYN,SHEA BEITLER-AKMAN,,"April 23, 2019",,,
0277002,GILMOR,302,S,ST,21223,NEW SOUTHWEST/MOUNT CLARE,SHEA BEITLER-AKMAN,Ramsay-Gilmor,"April 9, 2019",,,
0153046,SARATOGA,1304,W,ST,21223,FRANKLIN SQUARE,SHEA BEITLER-AKMAN,Franklin Square Elementary,"April 9, 2019",,,
7644068,BOOKERT,2881,,DR,21225,CHERRY HILL,SHEA BEITLER-AKMAN,,"April 9, 2019",,,
4114H044,CECIL,2612,,AVE,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"May 28, 2019",,,
4114G005,CECIL,2609,,AVE,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"April 16, 2019",,,
4114B001,ROBB,2601,,ST,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"March 12, 2019",,,
3814019,22ND,415,E,ST,21218,BARCLAY,KENT GRASSO,,"October 8, 2019",,,
4198B011,WEAVER,3031,,AVE,21214,ARCADIA,DORIS WEIL,,"February 12, 2019",,,
7077026,PATAPSCO,606,E,AVE,21225,BROOKLYN,SHEA BEITLER-AKMAN,,"August 27, 2019",,,
1714164,FAYETTE,3022,E,ST,21224,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,Helfrich Special,"June 4, 2019",,,
1677070,CURLEY,413,N,ST,21224,ELLWOOD PARK/MONUMENT,EVAN HELFRICH,Helfrich Special,"January 28, 2020",,,
1569010,CHASE,2119,E,ST,21213,MIDDLE EAST,EVAN HELFRICH,Biddle-Chase P7,"March 19, 2019",,,
4613001A,OAKLEY,3002,,AV,21215,CENTRAL PARK HEIGHTS,BLAIR GRIFFITH,2900- 3000 Oakley Ave,"March 19, 2019",,,
6288047,LOMBARD,3437,E,ST,21224,BALTIMORE HIGHLANDS,ILYA ALTMAN,,"March 5, 2019",,,
3942021,HARFORD,2942,,ROAD,21218,COLDSTREAM HOMESTEAD MONTEBELL,DORIS WEIL,,"January 18, 2019",,,
2951C004,DOLFIELD,3734,,AV,21215,,BLAIR GRIFFITH,,"November 19, 2019",,,
0719B024,PAYSON,611,S,ST,21223,CARROLLTON RIDGE,SHEA BEITLER-AKMAN,Eagle and Mason Phase 9,"May 11, 2021",,,
7470A030,GANLEY,2828,,DR,21230,LAKELAND,SHEA BEITLER-AKMAN,,"August 27, 2019",,,
