X,Y,OBJECTID,OBJECTID_1,ID_RS_Web,BLOCKLOT,Address,DateFiled,ReceiverAppointed,DateAuction,SoldAtAuction,Neighborhood,Council_District,HousingMarketTypology2017
1439930.63393363,619236.138091475,620,907134,6454,5551 001A,3003 WOODHOME AVE,2019/11/15 00:00:00+00,2020/11/18 00:00:00+00,2020/10/23 00:00:00+00,,NORTH HARFORD ROAD                       ,3,D
1441999.2918698,616680.654357314,621,908530,6562,5603G047,6609 HILLTOP AVE,2021/04/15 00:00:00+00,,,,ROSEMONT EAST                            ,2,D
1439764.48990896,613708.53136456,622,910659,6524,5686 016,3514 MARY AVE,2019/12/23 00:00:00+00,,,,GLENHAM-BELHAR                           ,3,D
1443807.81253096,613525.176416308,623,911513,6475,5715 007B,6227 BELAIR ROAD,2020/01/23 00:00:00+00,,,,CEDMONT                                  ,2,D
1442594.91141348,611276.533275813,624,912451,3724,5748 037,4313 GLENARM AVE,2015/03/27 00:00:00+00,,,,CEDMONT                                  ,2,D
1437645.51350389,612129.17888023,625,913741,6553,5788 012,3501 FRANKFORD AVE,2021/04/22 00:00:00+00,2021/07/14 00:00:00+00,,,WALTHERSON                               ,3,D
1436682.1588033,612372.227934808,626,913931,4361,5797A008,3301 ECHODALE AVE,2016/04/06 00:00:00+00,2016/05/25 00:00:00+00,,,WALTHERSON                               ,3,F
1436067.53043939,611089.592704818,627,914099,5535,5804 053,4912 HOLDER AVE,2018/06/22 00:00:00+00,,,,WALTHERSON                               ,3,D
1436002.42820738,611792.67135115,628,914148,6455,5804 102,5006 ROSS ROAD,2019/10/29 00:00:00+00,2021/06/02 00:00:00+00,,,WALTHERSON                               ,3,F
1439057.9473588,609578.357210234,629,914515,2427,5818 023,4016 FRANKFORD AVE,2009/06/01 00:00:00+00,,,,WALTHERSON                               ,2,D
1439312.46719097,610124.580527231,630,914549,6589,5818A002,5502 HILLTOP AVE,2021/04/22 00:00:00+00,,,,WALTHERSON                               ,2,D
1438190.91694064,609208.981308565,631,915173,3648,5841 029,5118 ARDMORE WAY,2015/03/13 00:00:00+00,2017/09/05 00:00:00+00,,,WALTHERSON                               ,2,D
1438037.44119772,608753.420539901,632,915215,6560,5843 008,4010 CHESMONT AVE,2020/03/12 00:00:00+00,,,,WALTHERSON                               ,2,D
1438432.29473872,608522.082091808,633,915278,5883,5845A010,5118 BELAIR ROAD,2019/02/08 00:00:00+00,,,,WALTHERSON                               ,2,D
1437894.69082706,608030.509256065,634,915313,4969,5845C008,4916 BELAIR ROAD,2017/05/30 00:00:00+00,,2018/06/26 00:00:00+00,,WALTHERSON                               ,2,D
1435546.76015547,605822.148843393,635,916878,6496,5898H003J,4408 BELAIR ROAD,2019/12/10 00:00:00+00,2021/06/02 00:00:00+00,2021/08/10 00:00:00+00,,ARCADIA                                  ,3,H
1434927.58324422,606132.303734899,636,916947,5827,5898H060,4003 EIERMAN AVE,2018/11/07 00:00:00+00,,,,ARCADIA                                  ,3,H
1434035.03516056,603954.005269974,637,917606,6675,5913 002,3601 BELAIR ROAD,2021/04/08 00:00:00+00,,,,BELAIR-EDISON                            ,13,H
1434460.97853439,603679.114415556,638,917657,6487,5915 005,3109 CHESTERFIELD AVE,2019/12/10 00:00:00+00,2021/06/02 00:00:00+00,2021/08/10 00:00:00+00,2021/08/10 00:00:00+00,BELAIR-EDISON                            ,13,H
1435483.31015113,605134.484208226,639,918229,6464,5926 039,4229 SHAMROCK AVE,2019/11/20 00:00:00+00,,,,BELAIR-EDISON                            ,2,F
1435664.33702005,605483.744008392,640,918502,6800,5930 049,4222 SHELDON AVE,2021/05/26 00:00:00+00,,,,BELAIR-EDISON                            ,2,F
1436024.75690289,605486.389672399,641,918779,6542,5934A044,4246 NICHOLAS AVE,2021/04/08 00:00:00+00,,,,BELAIR-EDISON                            ,2,F
1443545.20380422,603024.851944566,642,922361,4664,6050 004,5607 FORCE ROAD,2017/03/31 00:00:00+00,,,,FRANKFORD                                ,2,E
1444368.06305088,606471.055682063,643,923012,6512,6072A026,5412 CEDONIA AVE,2019/12/23 00:00:00+00,2021/03/16 00:00:00+00,,,CEDONIA                                  ,2,D
1436951.77014072,602075.912241399,644,924010,5709,6111 056,4008 LYNDALE AVE,2018/09/11 00:00:00+00,,2021/12/07 00:00:00+00,2021/12/07 00:00:00+00,BELAIR-EDISON                            ,13,F
1433344.00340614,594306.303108722,645,925985,6116,6155 013,524 N EAST AVE,2021/06/29 00:00:00+00,,,,ELLWOOD PARK/MONUMENT                    ,13,I
1433829.72389139,592732.989982396,646,927715,2924,6265 054,29 N CLINTON ST,2013/08/13 00:00:00+00,2013/10/09 00:00:00+00,,,PATTERSON PARK NEIGHBORHOOD              ,1,H
1434584.81194814,593569.136604056,647,927929,6920,6270 042,218 N CONKLING ST,2021/06/14 00:00:00+00,,,,BALTIMORE HIGHLANDS                      ,1,F
1434538.33566314,593222.303636312,648,927981,6419,6271 031,3519 E FAYETTE ST,2021/06/29 00:00:00+00,,,,BALTIMORE HIGHLANDS                      ,1,F
