,BLOCKLOT,VAC:PROG,VAC:Neighborhood,VAC:Typology
363,4604A009,1,CENTRAL PARK HEIGHTS,I
364,3305A027,1,CENTRAL PARK HEIGHTS,J
365,4138035,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
366,0264058,1,NEW SOUTHWEST/MOUNT CLARE,I
367,3418A032,1,RESERVOIR HILL,E
368,0275102,1,CARROLLTON RIDGE,J
369,1099A005,1,OLIVER,J
370,4178J027,1,FOUR BY FOUR,I
371,0094037,1,MIDTOWN-EDMONDSON,J
372,2475C036,1,FRANKLINTOWN ROAD,I
373,4139A022,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
374,4165071,1,DARLEY PARK,J
375,1468088,1,BROADWAY EAST,I
376,4616074,1,CENTRAL PARK HEIGHTS,I
377,2443A022,1,WINCHESTER,I
378,0064005,1,SANDTOWN-WINCHESTER,H
379,0012001D,1,EASTERWOOD,I
380,1485011,1,BROADWAY EAST,J
381,4070A033,1,BETTER WAVERLY,J
382,4591008,1,CENTRAL PARK HEIGHTS,I
383,3952043,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
384,1628055,1,MADISON-EASTEND,I
385,0006021,1,EASTERWOOD,I
386,1643087,1,MCELDERRY PARK,I
387,0307028,1,DRUID HEIGHTS,I
388,4586045,1,CENTRAL PARK HEIGHTS,I
389,0031056,1,SANDTOWN-WINCHESTER,I
390,1590012,1,MILTON-MONTFORD,H
391,3024012,1,PANWAY/BRADDISH AVENUE,F
392,3186002,1,TOWANDA-GRANTLEY,J
393,4004001,1,EAST BALTIMORE MIDWAY,J
394,4587022,1,CENTRAL PARK HEIGHTS,I
395,0246055,1,UNION SQUARE,E
396,0021042,1,SANDTOWN-WINCHESTER,J
397,0328060,1,DRUID HEIGHTS,I
398,1454004,1,BROADWAY EAST,J
399,2201069,1,ROSEMONT HOMEOWNERS/TENANTS,I
400,1454008,1,BROADWAY EAST,J
401,0050051,1,SANDTOWN-WINCHESTER,J
402,3211080,1,MONDAWMIN,J
403,3312A024,1,CENTRAL PARK HEIGHTS,J
404,1161033,1,OLIVER,H
405,0769061,1,WASHINGTON VILLAGE/PIGTOWN,F
406,4616002,1,CENTRAL PARK HEIGHTS,I
407,7087034,1,BROOKLYN,I
408,4128010,1,COLDSTREAM HOMESTEAD MONTEBELLO,I
409,4577A002,1,CENTRAL PARK HEIGHTS,I
410,0123053,1,HARLEM PARK,I
411,1670075,1,CARE,E
412,2219016,1,PENROSE/FAYETTE STREET OUTREACH,J
413,7614002,1,CHERRY HILL,G
414,1451075,1,BROADWAY EAST,J
415,0113029,1,HARLEM PARK,I
416,3417080,1,PENN NORTH,I
417,0113020,1,HARLEM PARK,I
418,0065032,1,SANDTOWN-WINCHESTER,J
419,2178009,1,SHIPLEY HILL,J
420,1500010,1,BROADWAY EAST,J
421,7900A002,1,HUNTING RIDGE,D
422,3411025,1,PENN NORTH,I
423,6158A036,1,ELLWOOD PARK/MONUMENT,I
424,0064004,1,SANDTOWN-WINCHESTER,H
