REAL:Neighborhood,VAC:PROG,REC:PROG,ADOPT:PROG,BID:PROG,DEMO:PROG,CityOwned,CITYandANY,CITYandADOPT,CITYandDEMO,CITYandVAC,VACandREC,AnyProgram,TotalParcels
PERRING LOCH                             ,1.0,0.0,0.0,0.0,0.0,4,0,0.0,0.0,0.0,0.0,1,1160
PIMLICO GOOD NEIGHBORS                   ,23.0,2.0,5.0,1.0,0.0,9,5,5.0,0.0,0.0,1.0,29,457
PLEASANT VIEW GARDENS                    ,2.0,2.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,2.0,2,40
POPPLETON                                ,62.0,3.0,219.0,4.0,90.0,376,322,214.0,86.0,23.0,2.0,371,1063
PORT COVINGTON                           ,0.0,0.0,2.0,0.0,0.0,7,2,2.0,0.0,0.0,0.0,2,48
PULASKI INDUSTRIAL AREA                  ,2.0,0.0,5.0,0.0,4.0,29,4,4.0,0.0,0.0,0.0,11,323
PURNELL                                  ,0.0,0.0,1.0,0.0,0.0,1,1,1.0,0.0,0.0,0.0,1,4
RADNOR-WINSTON                           ,1.0,0.0,2.0,0.0,0.0,2,2,2.0,0.0,0.0,0.0,3,198
RAMBLEWOOD                               ,5.0,0.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,6,674
REISTERSTOWN STATION                     ,7.0,1.0,2.0,0.0,4.0,3,2,2.0,0.0,0.0,1.0,13,599
REMINGTON                                ,10.0,3.0,6.0,0.0,0.0,11,6,6.0,0.0,0.0,0.0,19,1225
RESERVOIR HILL                           ,69.0,25.0,40.0,5.0,4.0,60,39,37.0,1.0,3.0,17.0,121,1569
RICHNOR SPRINGS                          ,9.0,6.0,1.0,0.0,0.0,4,1,1.0,0.0,0.0,3.0,13,324
RIDGELY'S DELIGHT                        ,5.0,0.0,1.0,0.0,0.0,8,1,1.0,0.0,0.0,0.0,6,411
RIVERSIDE                                ,5.0,1.0,5.0,0.0,3.0,12,5,5.0,0.0,0.0,0.0,14,3102
ROGNEL HEIGHTS                           ,7.0,0.0,10.0,0.0,0.0,13,10,10.0,0.0,0.0,0.0,17,794
ROLAND PARK                              ,3.0,1.0,1.0,0.0,0.0,6,1,1.0,0.0,0.0,0.0,5,1601
ROSEBANK                                 ,2.0,0.0,1.0,0.0,0.0,2,1,1.0,0.0,0.0,0.0,3,233
ROSEMONT                                 ,139.0,2.0,8.0,0.0,7.0,20,11,8.0,0.0,3.0,2.0,154,977
