NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
968635A,"May 17, 2013",,1454 027,BROADWAY EAST                            ,-536910504,J,766920,3121,1430224.8318229765,599368.353352055
968506A,"May 21, 2013",,1142B028,JOHNSTON SQUARE                          ,-536911896,J,760669,8195,1423509.993218556,596943.9513767213
968406A,"May 15, 2013",,1609 003,MILTON-MONTFORD                          ,-536910312,I,774232,7204,1430590.2507115602,595154.7364512235
968139A,"May 15, 2013",,2418 062,NORTHWEST COMMUNITY ACTION               ,-536910792,I,809821,4043,1407028.8017715514,597408.7992003113
968029A,"August 16, 2013",,1463 086,BROADWAY EAST                            ,-536912184,J,767601,1358,1429679.7000392228,598918.1751185656
96783A,"November 15, 2005",,0392 017,UPTON                                    ,-536911848,G,742614,4989,1416089.7636364698,594807.8982341439
967649A,"May 15, 2013",,4022 007,EAST BALTIMORE MIDWAY                    ,-536911224,G,856934,5937,1423542.762181893,600105.1258286387
967554A,"May 15, 2013",,1144 005,JOHNSTON SQUARE                          ,-536911992,J,760762,1,1424141.7225981355,597059.0331675559
967364A,"May 15, 2013",,3196 019,LUCILLE PARK                             ,-536911800,J,826805,10685,1404939.940135643,609621.7150631398
96728A,"November 3, 2005",,0275 066,CARROLLTON RIDGE                         ,-536911368,J,737839,11913,1412400.4606476426,589229.1311764717
96717A,"November 4, 2005",,0696 104,CARROLLTON RIDGE                         ,-536911608,J,749516,7904,1410971.9792526364,588097.6094893962
96698A,"November 3, 2005",,0696 099,CARROLLTON RIDGE                         ,-536911560,J,749511,3624,1411026.4729100615,588121.0897573978
96658A,"November 3, 2005",,0711 029,CARROLLTON RIDGE                         ,-536911080,I,750282,808,1412543.634245798,588203.1735827327
966580A,"May 10, 2013",,2402 031,COPPIN HEIGHTS/ASH-CO-EAST               ,-536912616,I,809125,9971,1407832.4425527155,598130.4972319752
966455A,"May 14, 2013",,1644 050,MCELDERRY PARK                           ,-536910456,I,775974,2807,1431897.92165263,594628.3569265604
966393A,"May 19, 2013",,0292 007,NEW SOUTHWEST/MOUNT CLARE                ,-536910120,I,739008,1230,1412958.672129631,588860.5403782278
966251A,"May 10, 2013",,0013A046,SANDTOWN-WINCHESTER                      ,-536910216,J,724001,6766,1412004.9201001376,597726.8149684817
966044A,"May 10, 2013",,3207 005,MONDAWMIN                                ,-536910072,J,827202,8850,1411790.1688892245,598691.8701249808
965998A,"May 19, 2013",,2165 007,SHIPLEY HILL                             ,-536910936,J,799992,2728,1409606.900617972,591006.8402194828
965882A,"May 10, 2013",,3205 023,MONDAWMIN                                ,-536910168,I,827074,9285,1410744.0541835576,598874.9458743036
965543A,"May 8, 2013",,3424 042,RESERVOIR HILL                           ,-536910024,E,834592,6698,1415169.2900837213,599639.9046462327
