NoticeNum,DateNotice,Shape,BLOCKLOT,NEIGHBOR,Council_District,Typology2017,OBJECTID,ESRI_OID,x,y
1596025A,"April 28, 2018",,0938 015,WASHINGTON VILLAGE/PIGTOWN               ,-447947768,E,754874,4324,1417632.3885039687,587622.6179853082
1595997A,"October 11, 2017",,5788 012,WALTHERSON                               ,-447950072,D,913741,7798,1437645.5135038942,612129.1788802296
1595476A,"October 9, 2017",,0698 029,CARROLLTON RIDGE                         ,-447949736,J,749601,11880,1411849.49226138,588380.9806418121
1595458A,"October 23, 2017",,0007 070,EASTERWOOD                               ,-447948104,I,723644,11980,1411501.3043094724,598046.655536145
1595328A,"October 12, 2017",,1116 009,OLIVER                                   ,-447949400,I,759663,9189,1425931.0234814733,598241.2771941423
1594995A,"October 11, 2017",,2445 032,FRANKLINTOWN ROAD                        ,-447949928,I,810740,12030,1406618.2149943113,595123.5009493977
1594771A,"October 6, 2017",,0228 025,UNION SQUARE                             ,-447950024,E,734983,2566,1412893.3097275496,590173.6292874813
1594385A,"October 6, 2017",,7805B008,MORRELL PARK                             ,-447947576,F,949932,3815,1410989.1901762187,583941.5400456488
1594384A,"October 6, 2017",,7805B007,MORRELL PARK                             ,-447947528,F,949931,11234,1410962.0757291317,583967.4327103943
1593514A,"September 29, 2017",,1477 027,BROADWAY EAST                            ,-447947720,I,768414,12635,1427210.138049215,598153.3157558888
1592923A,"September 30, 2017",,4543A030,WOODMERE                                 ,-447948584,I,875394,7033,1401849.1516977996,611267.5572438985
1592896A,"October 6, 2017",,1108 067,OLIVER                                   ,-447948536,I,759232,11653,1426145.3409662247,598754.5159970671
1592876A,"September 29, 2017",,2176 042,SHIPLEY HILL                             ,-447948296,J,800769,8214,1409200.1950665563,589754.1642471403
1592870A,"September 27, 2017",,1457 055,BROADWAY EAST                            ,-447949016,J,767240,7343,1427770.1923753023,598712.3592572212
159243A,"September 15, 2006",,0049 016,MIDTOWN-EDMONDSON                        ,-447948824,J,725745,764,1411959.7663190514,595616.0770639777
1592320A,"September 27, 2017",,1459 023,BROADWAY EAST                            ,-447947672,I,767384,11135,1428681.3073509634,598843.0725784749
1592004A,"September 29, 2017",,2441 043,ROSEMONT                                 ,-447947624,I,810341,8279,1405287.7173272222,597267.899219647
1591845A,"September 25, 2017",,3349 009,GREENSPRING                              ,-447948968,I,831693,2435,1407614.9846543074,609264.4398590624
1591814A,"October 1, 2017",,3350 013,GREENSPRING                              ,-447949688,I,831777,9260,1407687.3742733002,609620.8289100677
1591780A,"October 4, 2017",,0003 013,SANDTOWN-WINCHESTER                      ,-447948776,I,723336,12825,1412285.0616002232,598477.659923479
1591526A,"September 29, 2017",,7273 001,CURTIS BAY                               ,-447950552,H,943755,6816,1427303.3281515539,570888.3620838076
1591484A,"September 29, 2017",,2178 049,SHIPLEY HILL                             ,-447949304,J,800979,7038,1409061.8226398826,588722.4957068115
1591045A,"September 24, 2017",,2377C080,MOSHER                                   ,-447949256,I,807921,10570,1407793.7303598076,593329.8926599771
1591034A,"September 26, 2017",,7470K008,LAKELAND                                 ,-447948728,H,945204,2497,1412811.8079220504,578730.9244826436
159094A,"September 25, 2006",,1521 063,BEREA                                    ,-447949544,J,770572,1405,1430459.8064186424,597549.5889449716
159038A,"September 14, 2006",,0207 019,BOYD-BOOTH                               ,-447949496,J,734070,12154,1411863.4236639738,590418.6507790536
159024A,"September 14, 2006",,0162 100,PENROSE/FAYETTE STREET OUTREACH          ,-447948248,J,731706,4442,1412132.0533760488,592043.2154433131
1590119A,"September 29, 2017",,3417 026,PENN NORTH                               ,-447950504,I,834154,9707,1414230.8257533014,599768.2170536369
1590089A,"September 30, 2017",,2475 004,FRANKLINTOWN ROAD                        ,-447950360,I,811506,8330,1406575.7679007202,593054.2275288999
1590065A,"January 25, 2018",,3250 032,LIBERTY SQUARE                           ,-447948056,G,828790,389,1410168.633746475,602004.9796404839
1590063A,"September 29, 2017",,3004 011,WALBROOK                                 ,-447950264,H,821648,1726,1406688.5593418032,598436.1550852209
1590062A,"September 30, 2017",,0097 027,HARLEM PARK                              ,-447950216,J,728557,5231,1412764.9986324757,594110.5528440624
1590061A,"September 29, 2017",,2401B001,COPPIN HEIGHTS/ASH-CO-EAST               ,-447945656,I,809047,9344,1408183.4201972187,598016.0378152281
1589789A,"September 29, 2017",,3417 027,PENN NORTH                               ,-447946184,I,834155,3779,1414225.268677801,599780.6156508923
1589590A,"September 22, 2017",,2100 096,MILLHILL                                 ,-447944600,I,798195,5353,1409362.7081929743,586631.8696387261
1589587A,"September 22, 2017",,2153 053,PENROSE/FAYETTE STREET OUTREACH          ,-447945704,I,799747,174,1410292.0334340483,591007.2893655598
1589585A,"September 22, 2017",,2153 066,PENROSE/FAYETTE STREET OUTREACH          ,-447946808,I,799760,7598,1410421.0659843832,590986.7106665671
1589513A,"September 22, 2017",,7613 040,CHERRY HILL                              ,-447945608,G,946863,8014,1420137.7164985538,576806.4391583949
1589414A,"September 19, 2017",,1557 047,BIDDLE STREET                            ,-447946424,J,772239,3439,1430892.8997125477,596807.0477791429
1589413A,"September 19, 2017",,1555 034,BIDDLE STREET                            ,-447946232,J,772065,11908,1430075.1775947213,596762.2552178055
1589308A,"September 19, 2017",,1484 070,BROADWAY EAST                            ,-447946136,J,768905,6842,1429702.3568180501,598161.2527478933
1589231A,"September 18, 2017",,1622 016,MIDDLE EAST                              ,-447946280,I,774736,493,1429592.675606966,594961.1308673173
1589229A,"September 19, 2017",,1454 049D,BROADWAY EAST                            ,-447946088,J,766946,997,1429962.3920591325,599390.880209893
1589160A,"September 22, 2017",,7245C028A,BROOKLYN                                 ,-447946040,H,943147,3072,1426884.3985432237,570092.0834926367
1589151A,"September 22, 2017",,2219 006,PENROSE/FAYETTE STREET OUTREACH          ,-447944552,J,802125,9575,1407929.8226073086,592271.304882139
1589145A,"September 22, 2017",,0778 027,WASHINGTON VILLAGE/PIGTOWN               ,-447947192,F,751275,2340,1415534.8769509643,587476.9988539815
1589026A,"September 20, 2017",,0120 105,HARLEM PARK                              ,-447945992,J,729885,1150,1412342.2356984764,592980.2798421383
1589021A,"September 20, 2017",,0097 055,HARLEM PARK                              ,-447945128,J,728584,6664,1412834.1622080505,593840.6816646457
1589020A,"September 20, 2017",,2481 031,FRANKLINTOWN ROAD                        ,-447945080,J,811900,10656,1406745.2701863945,593334.5501309782
1588728A,"September 24, 2017",,0288 051,CARROLLTON RIDGE                         ,-447945464,J,738793,9054,1410831.845674634,588675.0673239827
1588672A,"September 24, 2017",,2377C025,MOSHER                                   ,-447945944,I,807866,10396,1407776.1496863067,593169.9841871411
1588566A,"September 17, 2017",,6286 049,BALTIMORE HIGHLANDS                      ,-447947096,F,928780,7792,1434929.7666388005,591949.1887284815
1588443A,"September 18, 2017",,1694 027,MCELDERRY PARK                           ,-447947480,H,778991,7855,1432077.461647883,593540.4929605573
1588379A,"September 19, 2017",,3973C077,PEN LUCY                                 ,-447946616,H,854429,11303,1423636.9601562172,609782.4106078893
1588370A,"September 22, 2017",,4108 012E,COLDSTREAM HOMESTEAD MONTEBELLO          ,-447945896,H,859597,8947,1426480.3763853908,602853.1866054833
1588369A,"September 20, 2017",,5804 102,WALTHERSON                               ,-447946664,F,914148,6494,1436002.4282073826,611792.6713511497
1588368A,"September 21, 2017",,3941A024,COLDSTREAM HOMESTEAD MONTEBELLO          ,-447946568,F,850471,1997,1428693.9549634755,604807.7250192314
158815A,"September 13, 2006",,2408 024,NORTHWEST COMMUNITY ACTION               ,-447944504,H,809509,11890,1407812.7500068098,597153.7317970544
158812A,"September 13, 2006",,2409B016,NORTHWEST COMMUNITY ACTION               ,-447945848,H,809651,10987,1407060.1740841419,597065.6673406363
1588071A,"September 17, 2017",,7200 006,CURTIS BAY                               ,-447946328,H,942336,6333,1428386.8394359648,568120.9404533058
1587985A,"September 16, 2017",,2244A023,IRVINGTON                                ,-447945512,H,802867,2811,1404557.7017268836,588424.6869192272
1587971A,"September 15, 2017",,4577B003,CENTRAL PARK HEIGHTS                     ,-447944456,I,876219,5207,1403045.2159067243,611941.9413938075
1587448A,"September 25, 2017",,3206 011,MONDAWMIN                                ,-447947144,J,827139,10376,1411162.3345149755,598658.6320024729
1587447A,"September 25, 2017",,3206 004,MONDAWMIN                                ,-447945224,J,827133,644,1411310.596685633,598660.4125107229
1587446A,"September 25, 2017",,3204 009,MONDAWMIN                                ,-447945416,I,827026,4708,1410425.9153841436,598651.200914979
1587445A,"September 22, 2017",,2324 048,EASTERWOOD                               ,-447946520,I,806321,10574,1410738.7585904747,597496.0454168916
1587442A,"September 22, 2017",,3240 012,PARKVIEW/WOODBROOK                       ,-447947048,F,828611,12244,1411123.4139891416,601367.19384256
1587436A,"September 25, 2017",,3235 033,PARKVIEW/WOODBROOK                       ,-447945560,H,828437,5389,1411606.842156142,601342.9576705545
1587435A,"September 25, 2017",,0007 065,EASTERWOOD                               ,-447945368,I,723639,9153,1411498.2711790502,598114.1373565644
1587433A,"September 25, 2017",,3408 003,PENN NORTH                               ,-447946904,I,833644,7856,1413034.6427782178,599847.9714873135
1587425A,"September 13, 2017",,2400 011,COPPIN HEIGHTS/ASH-CO-EAST               ,-447945032,I,808973,10046,1408313.1410663873,598158.847240895
1587397A,"September 17, 2017",,0697 014,CARROLLTON RIDGE                         ,-447946472,J,749536,6114,1411366.1408658922,588171.8668868095
1586920A,"September 13, 2017",,3347F023,GREENSPRING                              ,-447945800,I,831643,12811,1407596.4623816311,609032.572212562
1586854A,"September 14, 2017",,1539 043,BEREA                                    ,-447945752,I,771390,11785,1430881.9617422968,597210.4738095552
1586715A,"September 12, 2017",,4626A089M,CENTRAL PARK HEIGHTS                     ,-447947432,I,878473,12440,1406395.4555973113,610660.0584588945
1586689A,"September 11, 2017",,0702 007,CARROLLTON RIDGE                         ,-447944792,J,749847,645,1411680.5037542135,587951.5540072322
1586623A,"September 13, 2017",,2178 089,SHIPLEY HILL                             ,-447945320,J,801015,2868,1408918.2917589694,588459.7488569766
158658A,"September 12, 2006",,0118 086,MIDTOWN-EDMONDSON                        ,-447947000,J,729649,8216,1411515.6727190614,593059.9381473958
1586543A,"September 12, 2017",,4602 019,CENTRAL PARK HEIGHTS                     ,-447947384,J,877144,4920,1403655.7002500594,610607.4499683082
1586538A,"September 12, 2017",,3301 120D,CENTRAL PARK HEIGHTS                     ,-447945272,I,829795,8473,1405374.0491755605,610210.0078498125
158634A,"September 12, 2006",,2450 043,ROSEMONT                                 ,-447947336,I,811094,5046,1405247.7072366327,596682.0942889005
158624A,"September 12, 2006",,3024 027,PANWAY/BRADDISH AVENUE                   ,-447946856,F,822252,3421,1407021.8221267164,599251.2981399745
158609A,"September 13, 2006",,0087 022,HARLEM PARK                              ,-447944744,J,728054,5466,1413475.357447967,594377.0998831391
1585830A,"September 8, 2017",,5695F023,GLENHAM-BELHAR                           ,-447944696,F,911064,10654,1441760.8645251393,611532.4340107292
1585765A,"September 26, 2017",,3322 041,PARK CIRCLE                              ,-447946376,I,830320,1087,1407906.0864343047,606614.4218651503
1585676A,"September 8, 2017",,0703 035,CARROLLTON RIDGE                         ,-447947288,J,749931,956,1411880.5059788823,588077.6488993913
1585672A,"September 13, 2017",,3406 037,PENN NORTH                               ,-447947240,I,833444,3415,1413560.7709910572,599083.624918893
1584797A,"September 8, 2017",,3193 007,LUCILLE PARK                             ,-447946952,J,826738,4067,1405582.5481023937,609509.2874664813
1584796A,"September 7, 2017",,3183 022,TOWANDA-GRANTLEY                         ,-447946760,J,826388,3331,1406648.7201826423,607950.5583004802
1584770A,"September 8, 2017",,3406 050,PENN NORTH                               ,-447946712,I,833455,7804,1413282.8289616406,599261.5963477343
1584536A,"September 5, 2017",,0388 019,CHARLES NORTH                            ,-447944984,C,742460,7359,1420530.26525414,598968.0700318962
1584469A,"September 7, 2017",,2170A089,SHIPLEY HILL                             ,-447945176,J,800311,6772,1408952.1972029656,590901.104210481
1583634A,"September 3, 2017",,7076 030,BROOKLYN                                 ,-447944840,H,939696,3804,1424722.5505047143,572356.9441203922
1583625A,"September 3, 2017",,2177 028,SHIPLEY HILL                             ,-447944648,J,800876,11783,1409628.864156723,589006.2749948949
1583608A,"September 3, 2017",,0767 052,WASHINGTON VILLAGE/PIGTOWN               ,-447944936,F,750775,8933,1415095.319431141,587997.4233380556
1583523A,"September 1, 2017",,2230K013,CARROLL-SOUTH HILTON                     ,-447944888,H,802554,4337,1405689.2070098072,589590.7577498108
1583440A,"September 20, 2017",,3232A010,PARKVIEW/WOODBROOK                       ,-447943592,I,828306,146,1412220.2028060555,600953.8905353099
1582791A,"September 1, 2017",,3813 056,BARCLAY                                  ,-447941480,G,846097,10369,1422102.8923582137,600042.5728041381
1582790A,"October 20, 2017",,2404 008,COPPIN HEIGHTS/ASH-CO-EAST               ,-447943448,I,809248,8257,1408077.489634797,597639.1215743124
1582601A,"September 1, 2017",,4049B002,WAVERLY                                  ,-447942440,F,857492,10098,1422980.5366003066,605624.0363787264
1581988A,"September 30, 2017",,0115 023,HARLEM PARK                              ,-447941528,I,729422,11235,1415482.5476593077,593507.6245879829
1581981A,"September 29, 2017",,0009 035,SANDTOWN-WINCHESTER                      ,-447944408,I,723768,12402,1412736.7129278928,598160.4076052308
1581978A,"September 13, 2017",,3410 005,PENN NORTH                               ,-447943832,I,833793,9668,1413659.9377874732,599759.6425957233
1581956A,"September 12, 2017",,3301 220,CENTRAL PARK HEIGHTS                     ,-447942056,I,829937,11039,1405591.1137020588,610521.0462697297
1581954A,"September 8, 2017",,3196F001,LUCILLE PARK                             ,-447941864,J,826890,6043,1405419.0484293848,609588.4529905617
1581952A,"September 7, 2017",,2935 017,CALLAWAY-GARRISON                        ,-447943544,D,820375,3947,1402991.2776943892,605537.1727073044
1581939A,"September 1, 2017",,7803 006G,MORRELL PARK                             ,-447942728,F,949820,5752,1410922.564981386,583726.5814860612
1581935A,"September 6, 2018",,2243B046,SAINT JOSEPHS                            ,-447942680,I,802750,3474,1404246.687913224,589033.3041403145
1581887A,"August 31, 2017",,1484 037,BROADWAY EAST                            ,-447942920,J,768872,9205,1429896.0588584691,598271.349968642
1581886A,"August 31, 2017",,1484 033,BROADWAY EAST                            ,-447943496,J,768868,12050,1429839.9054274708,598268.2984655648
1581881A,"August 30, 2017",,3327G039,GREENSPRING                              ,-447944024,H,830853,5461,1408941.2552957237,607322.8551595658
1581785A,"August 30, 2017",,2382 041,MOSHER                                   ,-447942968,I,808329,68,1407838.3910316378,594590.9094948918
1581761A,"August 31, 2017",,1175 027,JOHNSTON SQUARE                          ,-447942536,H,762267,8445,1425587.9372253865,596396.0502415597
1581748A,"September 3, 2017",,1474 016B,BROADWAY EAST                            ,-447941912,J,768127,9139,1430265.3097603917,598628.0103445649
1581744A,"September 3, 2017",,1642 058,MCELDERRY PARK                           ,-447943400,I,775786,5774,1431019.6891571432,594603.9311223924
1581740A,"September 3, 2017",,4004 015,EAST BALTIMORE MIDWAY,-447942344,J,960939,2684,1424292.5343043804,599446.556935817
1581739A,"August 31, 2017",,1521 031,BEREA                                    ,-447941384,J,770528,2365,1430513.6179908067,597567.2919935584
1581732A,"September 3, 2017",,4004 014,EAST BALTIMORE MIDWAY                    ,-447941432,J,855718,1309,1424285.5225073844,599445.9739317298
1581711A,"August 31, 2017",,1485 037,BROADWAY EAST                            ,-447941816,J,768956,11635,1430111.2546223104,598219.0780915618
1581707A,"September 3, 2017",,1456 063,BROADWAY EAST                            ,-447944360,I,767125,3943,1427380.3604778051,598689.990863651
1581701A,"September 3, 2017",,1628 052,MADISON-EASTEND                          ,-447942632,I,775288,8081,1432069.5128448904,594823.4231374711
1581700A,"September 3, 2017",,1627 019,MADISON-EASTEND                          ,-447943688,I,775162,103,1431395.9912260473,595028.3784362227
1581697A,"September 3, 2017",,1627 016,MADISON-EASTEND                          ,-447941768,I,775159,105,1431398.060775727,594988.7469538152
1581696A,"September 3, 2017",,1627 015,MADISON-EASTEND                          ,-447942248,I,775158,3040,1431398.7743569762,594974.888385728
1581692A,"September 1, 2017",,0758 094,WASHINGTON VILLAGE/PIGTOWN               ,-447943976,F,750685,1779,1414919.015649885,588264.6954413056
1581690A,"September 1, 2017",,0701 053,CARROLLTON RIDGE                         ,-447941720,J,749835,335,1411001.697040975,587732.1679630578
1581685A,"September 1, 2017",,0698 089,CARROLLTON RIDGE                         ,-447942008,J,749660,534,1411708.382963553,588542.5593868941
1581679A,"September 1, 2017",,0275 109,CARROLLTON RIDGE                         ,-447942296,J,737882,10236,1412525.4807388037,589150.0847466439
1581664A,"August 30, 2017",,4613 039,CENTRAL PARK HEIGHTS                     ,-447943304,I,877784,5968,1405343.4704965502,612721.1337330639
1581417A,"September 12, 2017",,4157 021,SOUTH CLIFTON PARK                       ,-447943928,J,862592,7636,1428142.2559356391,599721.2437223941
1581414A,"September 12, 2017",,1522 067,BEREA                                    ,-447943016,I,770629,4126,1430928.3724106401,597515.2487905622
1581412A,"September 12, 2017",,1455 031,BEREA                                    ,-447943352,I,767020,7592,1430448.6735668927,598812.8531507254
1581406A,"September 22, 2017",,4011B019,EAST BALTIMORE MIDWAY                    ,-447942872,J,856383,9368,1424536.1601294726,599985.1300056428
1581404A,"September 14, 2017",,4010G026,EAST BALTIMORE MIDWAY                    ,-447943736,J,856094,10874,1425525.048899725,600503.3117120564
1581402A,"September 22, 2017",,4007 006,EAST BALTIMORE MIDWAY                    ,-447941672,J,855862,10986,1425149.8331147134,599514.2999105603
1581401A,"September 14, 2017",,4006 013,EAST BALTIMORE MIDWAY                    ,-447941624,J,855816,2858,1424820.9663183838,599615.9325813055
1581381A,"August 30, 2017",,0235 058,HOLLINS MARKET                           ,-447943880,F,735303,11970,1415964.8711697161,590329.7090278119
158137A,"September 8, 2006",,0224 035,BOYD-BOOTH                               ,-447943640,J,734870,8095,1412223.807129547,590295.9846858084
158133A,"September 8, 2006",,0119 016,MIDTOWN-EDMONDSON                        ,-447941960,J,729699,6336,1412054.4301717281,593187.0350060612
1581306A,"August 30, 2017",,7055 012,BROOKLYN                                 ,-447943256,H,939204,6962,1425291.5457578003,573263.6440786421
1581114A,"August 30, 2017",,0213 008,FRANKLIN SQUARE                          ,-447943784,E,734238,10341,1413766.4700547159,590729.6127555668
1581110A,"August 30, 2017",,0217 046,HOLLINS MARKET                           ,-447943208,E,734434,6117,1415448.7373594642,590625.988290891
158109A,"September 8, 2006",,2407 038C,NORTHWEST COMMUNITY ACTION               ,-447944312,I,809475,10114,1406685.42352131,598056.7050567269
1581096A,"August 30, 2017",,0162 037,PENROSE/FAYETTE STREET OUTREACH          ,-447944264,J,731644,5609,1411930.9573215544,591780.699564144
1581095A,"August 30, 2017",,0161 005,PENROSE/FAYETTE STREET OUTREACH          ,-447941576,J,731523,4686,1411526.8656100482,592014.0763939768
158107A,"September 8, 2006",,2407 038D,NORTHWEST COMMUNITY ACTION               ,-447942392,I,809476,9530,1406699.1433101445,598057.4452127218
158096A,"September 8, 2006",,2411 021C,NORTHWEST COMMUNITY ACTION               ,-447942200,I,809757,11621,1406622.5522559732,597902.6092363149
1580341A,"August 27, 2017",,4577A028,CENTRAL PARK HEIGHTS                     ,-447942152,I,876205,10691,1403180.2638649642,611569.9404973984
1580291A,"August 25, 2017",,5137K104,GLEN OAKS                                ,-447943064,D,890221,3512,1426618.1887738109,620520.9983826429
1580164A,"September 5, 2017",,0304 026,DRUID HEIGHTS                            ,-447942776,G,739749,4257,1414791.1090815514,598635.6943843067
1580151A,"August 31, 2017",,0506 004,MID-TOWN BELVEDERE                       ,-447944216,A,746189,11966,1421107.9822745472,595581.3871727288
1580150A,"September 14, 2017",,0430 067,UPTON                                    ,-447944168,G,743910,3795,1416763.8695717156,594114.6355130672
1579841A,"August 31, 2017",,0096 066,HARLEM PARK                              ,-447942824,J,728498,1794,1412318.9644195586,593807.6987909824
1578728A,"September 4, 2017",,4595 013,LANGSTON HUGHES                          ,-447943160,I,876921,10878,1403455.143892631,610505.7047649771
1578725A,"September 4, 2017",,4595 008,LANGSTON HUGHES                          ,-447942584,I,876916,3357,1403490.414819464,610610.2603301406
1578649A,"August 25, 2017",,1125 010,OLIVER                                   ,-447944120,I,760060,10405,1425860.5127957165,597831.7232232243
1578210A,"August 22, 2017",,4178F006,FOUR BY FOUR                             ,-447943112,I,863993,8642,1432071.1522773057,600854.9419143051
1578191A,"August 22, 2017",,4010I038,EAST BALTIMORE MIDWAY                    ,-447942488,J,856157,9239,1425589.9641242176,601067.6970662326
1578101A,"September 5, 2017",,2177 064,SHIPLEY HILL                             ,-447942104,J,800912,11106,1409324.3250676394,589020.827459231
1578079A,"August 29, 2017",,4041A046,EAST BALTIMORE MIDWAY                    ,-447944072,J,857232,3723,1423621.513336718,601283.8715026379
1577931A,"August 22, 2017",,4114C022,COLDSTREAM HOMESTEAD MONTEBELLO          ,-447940472,I,859924,9247,1426248.5120197237,601999.6833912283
1576888A,"August 23, 2017",,0037 013,SANDTOWN-WINCHESTER                      ,-447939896,G,725242,2680,1414570.002568394,596510.9653660655
1576818A,"August 24, 2017",,0012 005,EASTERWOOD                               ,-447938792,I,723860,7737,1411517.411888808,597689.9301997274
1576695A,"August 18, 2017",,2152 014,SHIPLEY HILL                             ,-447941240,J,799693,9664,1410042.1162829697,590363.049184233
1576583A,"August 18, 2017",,3304 006,CENTRAL PARK HEIGHTS                     ,-447939704,I,829981,3663,1406862.96680139,609374.3244818151
1576549A,"August 18, 2017",,0059 062,SANDTOWN-WINCHESTER                      ,-447940808,J,726507,4018,1412372.9196922183,595063.4229855537
1576522A,"August 18, 2017",,1128 024,JOHNSTON SQUARE                          ,-447939800,E,760334,5079,1423111.124265641,596982.8827293068
1576466A,"August 19, 2017",,1505 002,BEREA                                    ,-447939512,J,769777,1643,1430439.4350683093,597699.5236844718
1576465A,"August 18, 2017",,4544C030,ARLINGTON                                ,-447940040,I,875555,4966,1402652.8889354765,612151.6260138154
1576450A,"August 19, 2017",,4164B032,DARLEY PARK                              ,-447938456,J,862919,8079,1427721.8617632985,600549.4566328973
1576178A,"August 17, 2017",,2170B061,SHIPLEY HILL                             ,-447939560,J,800382,7950,1409243.8600054681,590705.1321614832
1576125A,"August 18, 2017",,2482B022,FRANKLINTOWN ROAD                        ,-447940664,J,811951,12053,1406759.1819039732,593061.630073145
1576089A,"August 18, 2017",,5912A011,BELAIR-EDISON                            ,-447939464,H,917541,11989,1434207.9577149749,603509.9831921458
1576038A,"August 16, 2017",,4188B036,BELAIR-EDISON                            ,-447940280,H,866411,429,1432672.0864428878,602060.3873380572
1576034A,"August 16, 2017",,4131 033,COLDSTREAM HOMESTEAD MONTEBELLO          ,-447940088,J,860825,9104,1426645.71004422,603360.9936607331
1576029A,"August 16, 2017",,4179D097,BELAIR-EDISON                            ,-447939992,F,864738,2723,1433700.9305137992,602456.8399572223
1576006A,"August 16, 2017",,3855 016,ABELL                                    ,-447940136,B,848336,4253,1422751.3313500583,604051.8895886391
1575996A,"August 16, 2017",,3826 055,BARCLAY                                  ,-447939944,G,846726,3276,1422489.6632382274,601263.5956245661
157598A,"September 6, 2006",,1642 082,MCELDERRY PARK                           ,-447939848,I,775810,10687,1431097.145695135,594597.6791663915
1575852A,"August 18, 2017",,5551 001A,NORTH HARFORD ROAD                       ,-447938408,D,907134,5190,1439930.6339336336,619236.1380914748
1575624A,"August 17, 2017",,0321 040,DRUID HEIGHTS                            ,-447941048,I,740463,6518,1415285.2685263008,597466.686223641
1575077A,"August 15, 2017",,2377D002,MOSHER                                   ,-447939752,I,807927,10826,1408464.8536894768,593144.6758388132
1575072A,"August 15, 2017",,2361 021,ROSEMONT HOMEOWNERS/TENANTS              ,-447938984,H,807212,7895,1409667.0563375503,593210.6766910553
1575056A,"August 15, 2017",,2325 024,EASTERWOOD                               ,-447938936,I,806377,540,1410991.661627978,597183.8298339844
1575051A,"August 15, 2017",,2307A003,COPPIN HEIGHTS/ASH-CO-EAST               ,-447939320,I,805633,746,1409622.9235517979,598390.625648722
1575041A,"August 15, 2017",,3085 102,PANWAY/BRADDISH AVENUE                   ,-447939656,F,823754,1641,1408060.4535796344,599726.0002745539
1575030A,"August 15, 2017",,3013 055,WALBROOK                                 ,-447940952,H,821981,3674,1406577.7705213875,598841.4511906505
157465A,"September 7, 2006",,0114 013,HARLEM PARK                              ,-447941336,I,729355,2632,1415175.9324588925,593786.4071668983
1574231A,"August 13, 2017",,2908 020,FOREST PARK                              ,-447940424,F,819934,8753,1403114.4280386418,603565.9109018147
1574063A,"August 13, 2017",,2393 062,WINCHESTER                               ,-447939608,I,808815,10926,1407967.1607872248,595473.6367320567
1573994A,"August 11, 2017",,1543 025,BEREA                                    ,-447940520,H,771638,6780,1432554.6913364679,597269.2204112262
1573993A,"August 14, 2017",,2505A053,EDGEWOOD                                 ,-447940376,H,813047,11786,1403566.2712950557,593555.6750168055
1573744A,"August 11, 2017",,2127 004,GWYNNS FALLS                             ,-447938360,H,798830,4314,1406128.8934663832,587350.2208923101
1573728A,"August 11, 2017",,1111 030,GREENMOUNT WEST                          ,-447939416,E,759444,3509,1422902.428488806,598050.1266578138
1573706A,"August 13, 2017",,4168 019,SOUTH CLIFTON PARK                       ,-447940184,J,863268,3434,1428406.562821716,599988.7169407308
1573674A,"August 14, 2017",,0340 041,UPTON                                    ,-447939368,H,741234,2439,1416351.4140318036,597013.3889018893
1573567A,"August 13, 2017",,1144 046,JOHNSTON SQUARE                          ,-447938312,J,760788,37,1424416.919882387,597041.7202100605
1573451A,"August 11, 2017",,5099 003,ROSEBANK                                 ,-447941000,B,888926,7935,1422489.5241308808,617224.6726262271
1573083A,"August 13, 2017",,1536 006,BROADWAY EAST                            ,-447939080,J,771144,7523,1429853.6245601326,597142.020862475
1572913A,"August 13, 2017",,3063 001A,HANLON-LONGWOOD                          ,-447939272,F,823446,3973,1403850.6394927204,600984.0869972259
1572558A,"August 10, 2017",,4536A107,PIMLICO GOOD NEIGHBORS                   ,-447940328,H,875221,12442,1403260.427090466,613909.0647561401
1572548A,"August 8, 2017",,7872A003,MORRELL PARK                             ,-447940904,H,951019,10032,1411731.1837709695,583911.305197984
1572434A,"August 10, 2017",,0276 015,NEW SOUTHWEST/MOUNT CLARE                ,-447939224,J,737923,9034,1412895.5039488822,589240.7085811496
1571406A,"August 24, 2017",,2419 002,NORTHWEST COMMUNITY ACTION               ,-447939176,I,809841,3754,1406882.5491113067,597254.1269374788
1571341A,"August 9, 2017",,7492C454,LAKELAND                                 ,-447940760,H,946409,10326,1411306.640656799,578980.3514772207
1571092A,"August 6, 2017",,4178C017,FOUR BY FOUR                             ,-447938888,I,863851,11051,1431884.6975977272,600762.5792381465
1571070A,"August 10, 2017",,1540 091,BEREA                                    ,-447940232,I,771515,1774,1431514.4138894677,597154.4926223159
1570943A,"August 6, 2017",,1169 053,JOHNSTON SQUARE                          ,-447939128,H,762120,7813,1423396.5367525518,596261.0229525566
157084A,"September 5, 2006",,1691 091,MCELDERRY PARK                           ,-447939032,H,778820,5064,1430757.9242607206,593480.6187364757
1570508A,"August 13, 2017",,2385 064,MOSHER                                   ,-447941288,I,808420,2827,1407448.6280316412,594242.1388669759
1570022A,"August 4, 2017",,0096 085,HARLEM PARK                              ,-447938648,J,728515,9959,1412253.8575943857,593887.7307831496
1569976A,"August 2, 2017",,0626 026,POPPLETON                                ,-447938840,G,748788,6160,1417441.0804876387,591165.4783536494
1569900A,"August 6, 2017",,0074 027,SANDTOWN-WINCHESTER                      ,-447940856,I,727242,11842,1413292.6803198904,594936.3251426369
1569846A,"August 4, 2017",,3004 041,WALBROOK                                 ,-447941192,H,821680,3867,1406549.8535824716,598654.7789918035
